epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.8499,1.26925,3.91395,1.13695,0.10145,0.51668,0.09197,0.05915,1.174,2.88843,1.02752,0.000118746,0.000118746,0.000118746
2,168.294,1.07176,2.61892,1.04859,0.18408,0.46239,0.18309,0.12106,1.08697,2.21527,0.99224,0.000235392,0.000235392,0.000235392
3,246.117,0.96833,2.15266,1.00621,0.28629,0.51125,0.31237,0.21825,0.96252,1.86244,0.95408,0.000349682,0.000349682,0.000349682
4,323.867,0.91583,1.92926,0.98423,0.35034,0.54772,0.39423,0.27866,0.95266,1.7065,0.95154,0.000346397,0.000346397,0.000346397
5,401.838,0.89049,1.79077,0.97233,0.38914,0.59219,0.46766,0.337,0.90813,1.56983,0.93603,0.000342863,0.000342863,0.000342863
6,479.582,0.8695,1.68553,0.96745,0.45958,0.6032,0.54003,0.3987,0.88805,1.46141,0.91866,0.000339329,0.000339329,0.000339329
7,557.984,0.86376,1.58426,0.96445,0.53623,0.63562,0.6108,0.45134,0.88279,1.34187,0.92226,0.000335794,0.000335794,0.000335794
8,634.958,0.84088,1.49518,0.95585,0.57386,0.65663,0.6522,0.47662,0.89791,1.28269,0.93205,0.00033226,0.00033226,0.00033226
9,712.075,0.83349,1.41705,0.95357,0.63393,0.67914,0.71357,0.5183,0.91207,1.19049,0.92995,0.000328726,0.000328726,0.000328726
10,789.54,0.82573,1.35109,0.95122,0.67456,0.70866,0.74954,0.54134,0.92763,1.11711,0.93468,0.000325191,0.000325191,0.000325191
11,867.911,0.81726,1.28089,0.94794,0.72932,0.70466,0.77944,0.57213,0.89426,1.05573,0.92411,0.000321657,0.000321657,0.000321657
12,945.697,0.81126,1.22608,0.94643,0.70849,0.687,0.76193,0.56899,0.86085,1.09036,0.91431,0.000318123,0.000318123,0.000318123
13,1023.3,0.80792,1.17381,0.94336,0.77657,0.7522,0.83385,0.63254,0.82296,0.93758,0.903,0.000314588,0.000314588,0.000314588
14,1101.91,0.80455,1.14031,0.94154,0.76625,0.75084,0.82809,0.59925,0.91963,0.95918,0.93113,0.000311054,0.000311054,0.000311054
15,1180.67,0.79477,1.10874,0.93879,0.8208,0.76745,0.8658,0.65075,0.85723,0.87723,0.91146,0.00030752,0.00030752,0.00030752
16,1258.94,0.79255,1.07143,0.93686,0.83333,0.78884,0.87931,0.65977,0.86436,0.84915,0.9108,0.000303986,0.000303986,0.000303986
17,1336.21,0.79752,1.04967,0.93504,0.80879,0.78937,0.87165,0.65072,0.85081,0.85406,0.91276,0.000300451,0.000300451,0.000300451
18,1413.09,0.78422,1.02287,0.93332,0.81998,0.79291,0.87849,0.65697,0.86704,0.83794,0.9097,0.000296917,0.000296917,0.000296917
19,1489.72,0.77997,0.99621,0.92832,0.83545,0.80269,0.8934,0.63451,0.95972,0.82105,0.94056,0.000293383,0.000293383,0.000293383
20,1567.89,0.78232,0.99138,0.92994,0.86435,0.8137,0.89934,0.65993,0.90111,0.78718,0.92028,0.000289848,0.000289848,0.000289848
21,1646.1,0.77239,0.96037,0.92688,0.85218,0.81331,0.90145,0.69626,0.78782,0.76549,0.88986,0.000286314,0.000286314,0.000286314
22,1723.57,0.77167,0.94491,0.92772,0.87936,0.82756,0.91749,0.68112,0.8624,0.73197,0.91271,0.00028278,0.00028278,0.00028278
23,1801.14,0.77382,0.93047,0.92582,0.86416,0.8196,0.90767,0.68182,0.8465,0.7589,0.90699,0.000279245,0.000279245,0.000279245
24,1879.23,0.76652,0.91646,0.92519,0.87281,0.83464,0.91975,0.70158,0.8263,0.71611,0.89699,0.000275711,0.000275711,0.000275711
25,1956.28,0.75371,0.88746,0.92096,0.87877,0.85149,0.92708,0.71343,0.79514,0.6878,0.89142,0.000272177,0.000272177,0.000272177
26,2032.93,0.75201,0.88324,0.92066,0.86518,0.84093,0.92098,0.69677,0.83777,0.71209,0.90279,0.000268642,0.000268642,0.000268642
27,2110.43,0.75296,0.87595,0.91972,0.88688,0.85249,0.93078,0.70758,0.81934,0.67972,0.89817,0.000265108,0.000265108,0.000265108
28,2188.39,0.75065,0.86601,0.91811,0.89222,0.85914,0.93501,0.69438,0.8638,0.68249,0.91232,0.000261574,0.000261574,0.000261574
29,2266.23,0.75823,0.85976,0.92193,0.89226,0.85608,0.93437,0.68608,0.89176,0.67704,0.9221,0.00025804,0.00025804,0.00025804
30,2343.76,0.73793,0.83547,0.9167,0.88893,0.86281,0.93531,0.71277,0.81725,0.65984,0.89666,0.000254505,0.000254505,0.000254505
31,2421.29,0.74273,0.83681,0.91519,0.89039,0.85924,0.93679,0.72258,0.7909,0.653,0.88742,0.000250971,0.000250971,0.000250971
32,2499.35,0.74289,0.82354,0.9157,0.90108,0.85396,0.93734,0.71583,0.81081,0.64949,0.89328,0.000247437,0.000247437,0.000247437
33,2577.19,0.74345,0.81625,0.91571,0.9094,0.86451,0.94318,0.71831,0.80792,0.62924,0.89569,0.000243902,0.000243902,0.000243902
34,2655.11,0.74987,0.81715,0.9164,0.91127,0.8734,0.94773,0.72414,0.80235,0.61406,0.8941,0.000240368,0.000240368,0.000240368
35,2733.45,0.73538,0.79734,0.91437,0.89765,0.86593,0.94159,0.72684,0.79297,0.62369,0.88926,0.000236834,0.000236834,0.000236834
36,2811.24,0.73616,0.7985,0.91233,0.90204,0.86277,0.94082,0.72533,0.79567,0.62682,0.88827,0.000233299,0.000233299,0.000233299
37,2890.03,0.73275,0.79098,0.9132,0.91024,0.87851,0.94911,0.7253,0.80194,0.60311,0.89264,0.000229765,0.000229765,0.000229765
38,2967.74,0.73387,0.78218,0.91102,0.90772,0.88017,0.94849,0.72616,0.8039,0.60185,0.89213,0.000226231,0.000226231,0.000226231
39,3044.47,0.7311,0.77256,0.91356,0.92097,0.8761,0.95179,0.71603,0.84182,0.60245,0.90554,0.000222697,0.000222697,0.000222697
40,3121.75,0.72119,0.75681,0.90929,0.92003,0.87903,0.95303,0.72375,0.82091,0.59056,0.89936,0.000219162,0.000219162,0.000219162
41,3199.68,0.72213,0.76064,0.90861,0.90716,0.88795,0.95277,0.712,0.85606,0.5985,0.90855,0.000215628,0.000215628,0.000215628
42,3278.55,0.72297,0.74875,0.90881,0.91551,0.88729,0.95601,0.73484,0.79794,0.57473,0.89257,0.000212094,0.000212094,0.000212094
43,3357.1,0.71864,0.74687,0.90789,0.92257,0.87138,0.95006,0.71631,0.83455,0.59825,0.90247,0.000208559,0.000208559,0.000208559
44,3434.62,0.72099,0.74726,0.90777,0.92011,0.89323,0.95513,0.73369,0.80075,0.57877,0.88976,0.000205025,0.000205025,0.000205025
45,3512.39,0.71715,0.73461,0.90703,0.92601,0.88202,0.95421,0.73733,0.79256,0.57531,0.88895,0.000201491,0.000201491,0.000201491
46,3592.88,0.7197,0.73676,0.90797,0.92427,0.89383,0.95832,0.72879,0.81046,0.56674,0.89863,0.000197957,0.000197957,0.000197957
47,3670.9,0.72061,0.73047,0.90741,0.92982,0.88826,0.95858,0.7248,0.82812,0.56898,0.90178,0.000194422,0.000194422,0.000194422
48,3748.96,0.71826,0.72922,0.90718,0.93362,0.8838,0.95917,0.73003,0.82418,0.5646,0.89771,0.000190888,0.000190888,0.000190888
49,3827.8,0.71213,0.7216,0.90497,0.92296,0.89201,0.95864,0.74388,0.78216,0.5585,0.88474,0.000187354,0.000187354,0.000187354
50,3906.27,0.7107,0.7153,0.9029,0.92771,0.88556,0.95858,0.73662,0.80198,0.55945,0.89084,0.000183819,0.000183819,0.000183819
51,3984.52,0.71681,0.71582,0.90682,0.9254,0.89733,0.96064,0.7245,0.83775,0.55874,0.90412,0.000180285,0.000180285,0.000180285
52,4062.27,0.70622,0.70494,0.9045,0.93012,0.88202,0.95741,0.73816,0.79444,0.56206,0.88963,0.000176751,0.000176751,0.000176751
53,4139.68,0.71328,0.70608,0.90429,0.93643,0.88684,0.96056,0.73664,0.79911,0.54809,0.89299,0.000173216,0.000173216,0.000173216
54,4217.42,0.70753,0.70517,0.90445,0.93449,0.8983,0.96187,0.73656,0.80121,0.54463,0.89475,0.000169682,0.000169682,0.000169682
55,4295.18,0.71044,0.70063,0.90564,0.92992,0.89831,0.96043,0.72842,0.82041,0.55244,0.89901,0.000166148,0.000166148,0.000166148
56,4372.99,0.7065,0.69842,0.90302,0.92683,0.89807,0.96044,0.74774,0.77968,0.54244,0.88288,0.000162613,0.000162613,0.000162613
57,4450.71,0.70358,0.6917,0.90128,0.93877,0.90164,0.96442,0.74274,0.79618,0.53357,0.89063,0.000159079,0.000159079,0.000159079
58,4529.66,0.70281,0.69317,0.90175,0.94208,0.89689,0.96425,0.74723,0.78397,0.53242,0.88656,0.000155545,0.000155545,0.000155545
59,4608.48,0.7051,0.68797,0.90303,0.9317,0.89969,0.96285,0.74349,0.78506,0.53343,0.88785,0.000152011,0.000152011,0.000152011
60,4687.26,0.70019,0.68562,0.89961,0.93395,0.90922,0.96499,0.74662,0.78809,0.52753,0.8886,0.000148476,0.000148476,0.000148476
61,4765.44,0.69695,0.67952,0.90111,0.93558,0.90147,0.96398,0.74834,0.77466,0.52736,0.88627,0.000144942,0.000144942,0.000144942
62,4841.9,0.70339,0.68039,0.9026,0.94352,0.90495,0.96558,0.74606,0.79089,0.52427,0.88819,0.000141408,0.000141408,0.000141408
63,4919.51,0.70052,0.67953,0.90181,0.93649,0.9061,0.96514,0.7385,0.81041,0.53078,0.89633,0.000137873,0.000137873,0.000137873
64,4997.6,0.69452,0.6714,0.90022,0.93999,0.90332,0.96629,0.74667,0.78832,0.51916,0.88895,0.000134339,0.000134339,0.000134339
65,5075.44,0.69906,0.67366,0.90094,0.94561,0.90135,0.96624,0.73909,0.80393,0.52147,0.89508,0.000130805,0.000130805,0.000130805
66,5152.93,0.69606,0.6708,0.90062,0.93718,0.90865,0.96653,0.74404,0.7986,0.52021,0.89001,0.000127271,0.000127271,0.000127271
67,5231.12,0.69136,0.66682,0.90019,0.94066,0.91225,0.96815,0.74577,0.79433,0.5137,0.88987,0.000123736,0.000123736,0.000123736
68,5308.98,0.68908,0.65847,0.89911,0.93809,0.91268,0.9683,0.74856,0.79396,0.5109,0.88936,0.000120202,0.000120202,0.000120202
69,5386.91,0.68999,0.65751,0.89764,0.94477,0.90492,0.96863,0.73966,0.80723,0.5136,0.8951,0.000116668,0.000116668,0.000116668
70,5464.84,0.68818,0.65905,0.89852,0.94238,0.91391,0.96932,0.75033,0.79253,0.50835,0.88937,0.000113133,0.000113133,0.000113133
71,5542.21,0.68421,0.65307,0.89539,0.94956,0.90383,0.96866,0.74055,0.81069,0.5105,0.89599,0.000109599,0.000109599,0.000109599
72,5620.47,0.68915,0.65629,0.89851,0.94026,0.9076,0.96821,0.74696,0.79756,0.5116,0.89133,0.000106065,0.000106065,0.000106065
73,5698.76,0.68655,0.65387,0.89788,0.94269,0.90894,0.96907,0.74234,0.80843,0.51126,0.89429,0.00010253,0.00010253,0.00010253
74,5776.91,0.69249,0.6582,0.89821,0.94289,0.91031,0.96929,0.74723,0.80145,0.50724,0.89243,9.89961e-05,9.89961e-05,9.89961e-05
